,,,,,,,,,,,,,,
Campaign ID,Sum of conversions,Sum of Engagement,Sum of clicks,Sum of impressions,CTR(%),Engagement Rate(%),Conversion Rate (%),Revenue,Budget,ROI(%),Total revenue,Total Budget,Average CTR,Average ROI
25,52,362,998,8666,11.5162704823448,4.17724440341565,5.21042084168337,52000,44538.87,1675.19517221699%,,,,
26,37,227,564,5124,11.0070257611241,4.43013270882123,6.56028368794326,37000,12986.3,18491.5641868739%,,,,
27,33,150,393,3323,11.8266626542281,4.51399337947638,8.3969465648855,33000,32844.79,47.2555921350081%,,,,
28,30,189,608,5137,11.8357017714619,3.67919018882616,4.93421052631579,30000,19773.66,5171.69810748238%,,,,
29,58,480,1424,11704,12.1667805878332,4.10116199589884,4.07303370786517,58000,73911.29,-2152.75501212332%,,,,
30,42,270,836,6780,12.330383480826,3.98230088495575,5.02392344497608,42000,72208.34,-4183.49736332396%,,,,
31,42,213,589,5035,11.6981132075472,4.23038728897716,7.13073005093379,42000,81744.53,-4862.04153354359%,,,,
32,27,272,801,6936,11.5484429065744,3.92156862745098,3.37078651685393,27000,59264.68,-5444.16674484702%,,,,
33,85,484,1397,12043,11.6000996429461,4.01893215976086,6.08446671438797,85000,26104.3,22561.6852395965%,,,,
34,68,402,1241,10205,12.1607055365017,3.93924546790789,5.47945205479452,68000,71626.83,-506.350762696046%,,,,
35,11,53,199,1686,11.803084223013,3.1435349940688,5.52763819095477,11000,58801.99,-8129.31501127768%,,,,
36,10,131,409,3424,11.9450934579439,3.82593457943925,2.44498777506113,10000,46445.2,-7846.92497825394%,,,,
37,57,413,1176,10223,11.5034725618703,4.03991000684731,4.8469387755102,57000,71038.28,-1976.15708037976%,,,,
38,96,584,1593,13425,11.8659217877095,4.35009310986965,6.02636534839925,96000,55638.18,7254.33865737521%,,,,
39,27,210,639,5162,12.3789228981015,4.06819062378923,4.22535211267606,27000,53936.41,-4994.10509524086%,,,,
40,38,308,823,6686,12.3093030212384,4.60664074184864,4.61725394896719,38000,85220.35,-5540.97114128257%,,,,
41,35,185,605,5166,11.7111885404568,3.58110723964383,5.78512396694215,35000,7918.04,34202.8582831105%,,,,
42,67,539,1596,13671,11.6743471582181,3.9426523297491,4.19799498746867,67000,81350.3,-1764.01316282792%,,,,
44,39,290,794,6766,11.7351463198345,4.28613656517884,4.91183879093199,39000,15914.87,14505.3839585243%,,,,
45,19,130,352,3343,10.5294645527969,3.88872270415794,5.39772727272727,19000,53303.55,-6435.50945481117%,,,,
46,36,366,965,8517,11.3302806152401,4.2972877773864,3.73056994818653,36000,94023.76,-6171.18056116879%,,,,
47,63,420,1198,10276,11.658232775399,4.08719346049046,5.25876460767947,63000,69493.36,-934.385673681629%,,,,
48,17,132,400,3370,11.8694362017804,3.91691394658754,4.25,17000,13842.07,2281.40010850978%,,,,
49,18,136,382,3430,11.1370262390671,3.96501457725948,4.71204188481675,18000,28962.34,-3785.03256297661%,,,,
50,8,98,179,1707,10.4862331575864,5.7410661980082,4.46927374301676,8000,47274.7,-8307.76292604712%,,,,
(blank),2031,13970,40079,339812,11.7944628206185,4.11109672407096,5.06749170388483,2031000,,,,,,
Grand Total,4062,27940,80158,679624,11.7944628206185,4.11109672407096,5.06749170388483,4062000,,,,,,
